EM pivot post est position: 202.256751171,	200.611105439,	208.074563464
Optical pivot post est position: 400.703975846,	400.345851647,	193.504260588
457.467233,   604.635639,   223.137671,   
457.702233,   601.011139,   348.141796,   
457.937233,   597.386639,   473.145921,   
459.228483,   729.634389,   226.758921,   
459.463483,   726.009889,   351.763046,   
459.698483,   722.385389,   476.767171,   
580.701358,   477.887014,   219.267671,   
580.936358,   474.262514,   344.271796,   
581.171358,   470.638014,   469.275921,   
582.462608,   602.885764,   222.888921,   
582.697608,   599.261264,   347.893046,   
582.932608,   595.636764,   472.897171,   
584.223858,   727.884514,   226.510171,   
584.458858,   724.260014,   351.514296,   
584.693858,   720.635514,   476.518421,   
705.696733,   476.137139,   219.018921,   
705.931733,   472.512639,   344.023046,   
706.166733,   468.888139,   469.027171,   
707.457983,   601.135889,   222.640171,   
707.692983,   597.511389,   347.644296,   
707.927983,   593.886889,   472.648421,   
709.219233,   726.134639,   226.261421,   
709.454233,   722.510139,   351.265546,   
709.689233,   718.885639,   476.269671,   
444.446728,   420.707612,   428.717826,   
446.081228,   423.829112,   553.698326,   
447.715728,   426.950612,   678.678826,   
444.932478,   545.693362,   425.592826,   
446.566978,   548.814862,   550.573326,   
448.201478,   551.936362,   675.553826,   
445.418228,   670.679112,   422.467826,   
447.052728,   673.800612,   547.448326,   
448.687228,   676.922112,   672.428826,   
569.441478,   420.202362,   427.092826,   
571.075978,   423.323862,   552.073326,   
572.710478,   426.445362,   677.053826,   
569.927228,   545.188112,   423.967826,   
571.561728,   548.309612,   548.948326,   
573.196228,   551.431112,   673.928826,   
570.412978,   670.173862,   420.842826,   
572.047478,   673.295362,   545.823326,   
573.681978,   676.416862,   670.803826,   
694.436228,   419.697112,   425.467826,   
696.070728,   422.818612,   550.448326,   
697.705228,   425.940112,   675.428826,   
694.921978,   544.682862,   422.342826,   
696.556478,   547.804362,   547.323326,   
698.190978,   550.925862,   672.303826,   
695.407728,   669.668612,   419.217826,   
697.042228,   672.790112,   544.198326,   
698.676728,   675.911612,   669.178826,   
