EM pivot post est position: 201.905060094,	187.854186826,	197.049491227
Optical pivot post est position: 398.649017627,	412.292654007,	197.833143248
431.68725,   535.30426,   174.149542,   
433.9585,   538.92801,   299.121917,   
436.22975,   542.55176,   424.094292,   
431.026125,   660.29751,   170.556417,   
433.297375,   663.92126,   295.528792,   
435.568625,   667.54501,   420.501167,   
557.365,   410.93451,   175.470167,   
559.63625,   414.55826,   300.442542,   
561.9075,   418.18201,   425.414917,   
556.703875,   535.92776,   171.877042,   
558.975125,   539.55151,   296.849417,   
561.246375,   543.17526,   421.821792,   
556.04275,   660.92101,   168.283917,   
558.314,   664.54476,   293.256292,   
560.58525,   668.16851,   418.228667,   
682.381625,   411.55801,   173.197667,   
684.652875,   415.18176,   298.170042,   
686.924125,   418.80551,   423.142417,   
681.7205,   536.55126,   169.604542,   
683.99175,   540.17501,   294.576917,   
686.263,   543.79876,   419.549292,   
681.059375,   661.54451,   166.011417,   
683.330625,   665.16826,   290.983792,   
685.601875,   668.79201,   415.956167,   
424.645032,   445.648051,   456.782871,   
427.517157,   444.675051,   581.758871,   
430.389282,   443.702051,   706.734871,   
426.664157,   570.679176,   457.702496,   
429.536282,   569.706176,   582.678496,   
432.408407,   568.733176,   707.654496,   
428.683282,   695.710301,   458.622121,   
431.555407,   694.737301,   583.598121,   
434.427532,   693.764301,   708.574121,   
549.616032,   443.725426,   453.988746,   
552.488157,   442.752426,   578.964746,   
555.360282,   441.779426,   703.940746,   
551.635157,   568.756551,   454.908371,   
554.507282,   567.783551,   579.884371,   
557.379407,   566.810551,   704.860371,   
553.654282,   693.787676,   455.827996,   
556.526407,   692.814676,   580.803996,   
559.398532,   691.841676,   705.779996,   
674.587032,   441.802801,   451.194621,   
677.459157,   440.829801,   576.170621,   
680.331282,   439.856801,   701.146621,   
676.606157,   566.833926,   452.114246,   
679.478282,   565.860926,   577.090246,   
682.350407,   564.887926,   702.066246,   
678.625282,   691.865051,   453.033871,   
681.497407,   690.892051,   578.009871,   
684.369532,   689.919051,   702.985871,   
