EM pivot post est position: 191.737508823,	200.480586511,	198.216658492
Optical pivot post est position: 401.596604796,	392.026898322,	191.573635015
426.977,   721.456,   580.717,   
428.352,   719.831,   705.717,   
555.602,   475.581,   451.092,   
556.977,   473.956,   576.092,   
558.352,   472.331,   701.092,   
553.102,   600.581,   452.717,   
554.477,   598.956,   577.717,   
555.852,   597.331,   702.717,   
550.602,   725.581,   454.342,   
551.977,   723.956,   579.342,   
553.352,   722.331,   704.342,   
680.602,   478.081,   449.717,   
681.977,   476.456,   574.717,   
683.352,   474.831,   699.717,   
678.102,   603.081,   451.342,   
679.477,   601.456,   576.342,   
680.852,   599.831,   701.342,   
675.602,   728.081,   452.967,   
676.977,   726.456,   577.967,   
678.352,   724.831,   702.967,   
