EM pivot post est position: 192.481440132,	194.217034361,	200.664752473
Optical pivot post est position: 390.077038636,	397.444978724,	195.165551293
455.42,   728.333,   599.426,   
452.67,   725.458,   724.301,   
587.92,   483.583,   471.926,   
585.17,   480.708,   596.801,   
582.42,   477.833,   721.676,   
585.545,   608.583,   474.676,   
582.795,   605.708,   599.551,   
580.045,   602.833,   724.426,   
583.17,   733.583,   477.426,   
580.42,   730.708,   602.301,   
577.67,   727.833,   727.176,   
712.92,   485.958,   474.801,   
710.17,   483.083,   599.676,   
707.42,   480.208,   724.551,   
710.545,   610.958,   477.551,   
707.795,   608.083,   602.426,   
705.045,   605.208,   727.301,   
708.17,   735.958,   480.301,   
705.42,   733.083,   605.176,   
702.67,   730.208,   730.051,   
