EM pivot post est position: 194.154430256,	194.763436393,	198.083089292
Optical pivot post est position: 405.568631978,	404.487914604,	191.184343362
435.584,   721.679,   583.415,   
438.209,   718.304,   708.29,   
555.459,   473.804,   449.29,   
558.084,   470.429,   574.165,   
560.709,   467.054,   699.04,   
556.709,   598.804,   452.54,   
559.334,   595.429,   577.415,   
561.959,   592.054,   702.29,   
557.959,   723.804,   455.79,   
560.584,   720.429,   580.665,   
563.209,   717.054,   705.54,   
680.459,   472.554,   446.54,   
683.084,   469.179,   571.415,   
685.709,   465.804,   696.29,   
681.709,   597.554,   449.79,   
684.334,   594.179,   574.665,   
686.959,   590.804,   699.54,   
682.959,   722.554,   453.04,   
685.584,   719.179,   577.915,   
688.209,   715.804,   702.79,   
