EM pivot post est position: 193.387531762,	201.149293383,	197.009568787
Optical pivot post est position: 393.980271893,	395.552772234,	206.295357027
496.434,   700.867,   597.348,   
492.809,   699.117,   722.223,   
617.684,   449.117,   472.348,   
614.059,   447.367,   597.223,   
610.434,   445.617,   722.098,   
621.309,   573.992,   474.223,   
617.684,   572.242,   599.098,   
614.059,   570.492,   723.973,   
624.934,   698.867,   476.098,   
621.309,   697.117,   600.973,   
617.684,   695.367,   725.848,   
742.559,   445.367,   475.973,   
738.934,   443.617,   600.848,   
735.309,   441.867,   725.723,   
746.184,   570.242,   477.848,   
742.559,   568.492,   602.723,   
738.934,   566.742,   727.598,   
749.809,   695.117,   479.723,   
746.184,   693.367,   604.598,   
742.559,   691.617,   729.473,   
