EM pivot post est position: 191.044112252,	207.330428359,	208.091624799
Optical pivot post est position: 403.053202011,	394.360910531,	195.553082592
407.076944,   578.004984,   202.409762,   
410.329694,   578.222984,   327.308762,   
413.582444,   578.440984,   452.207762,   
404.827694,   703.030984,   202.265262,   
408.080444,   703.248984,   327.164262,   
411.333194,   703.466984,   452.063262,   
534.251194,   455.229984,   199.303512,   
537.503944,   455.447984,   324.202512,   
540.756694,   455.665984,   449.101512,   
532.001944,   580.255984,   199.159012,   
535.254694,   580.473984,   324.058012,   
538.507444,   580.691984,   448.957012,   
529.752694,   705.281984,   199.014512,   
533.005444,   705.499984,   323.913512,   
536.258194,   705.717984,   448.812512,   
659.176194,   457.480984,   196.052762,   
662.428944,   457.698984,   320.951762,   
665.681694,   457.916984,   445.850762,   
656.926944,   582.506984,   195.908262,   
660.179694,   582.724984,   320.807262,   
663.432444,   582.942984,   445.706262,   
654.677694,   707.532984,   195.763762,   
657.930444,   707.750984,   320.662762,   
661.183194,   707.968984,   445.561762,   
469.875375,   424.984205,   452.883205,   
467.989125,   427.227955,   577.876955,   
466.102875,   429.471705,   702.870705,   
472.386625,   549.99983,   450.64883,   
470.500375,   552.24358,   575.64258,   
468.614125,   554.48733,   700.63633,   
474.897875,   675.015455,   448.414455,   
473.011625,   677.259205,   573.408205,   
471.125375,   679.502955,   698.401955,   
594.884125,   422.484205,   454.883205,   
592.997875,   424.727955,   579.876955,   
591.111625,   426.971705,   704.870705,   
597.395375,   547.49983,   452.64883,   
595.509125,   549.74358,   577.64258,   
593.622875,   551.98733,   702.63633,   
599.906625,   672.515455,   450.414455,   
598.020375,   674.759205,   575.408205,   
596.134125,   677.002955,   700.401955,   
719.892875,   419.984205,   456.883205,   
718.006625,   422.227955,   581.876955,   
716.120375,   424.471705,   706.870705,   
722.404125,   544.99983,   454.64883,   
720.517875,   547.24358,   579.64258,   
718.631625,   549.48733,   704.63633,   
724.915375,   670.015455,   452.414455,   
723.029125,   672.259205,   577.408205,   
721.142875,   674.502955,   702.401955,   
