pa2-c-output-1.txt
EM pivot post est position: 188.147626887,	208.845915227,	200.521762183
Optical pivot post est position: 396.398892228,	407.045493381,	-2797.29232242
91.222,   470.735,   346.914,   
92.347,   470.985,   471.914,   
93.472,   471.235,   596.914,   
214.722,   219.985,   346.289,   
215.847,   220.235,   471.289,   
216.972,   220.485,   596.289,   
215.472,   344.985,   346.039,   
216.597,   345.235,   471.039,   
217.722,   345.485,   596.039,   
216.222,   469.985,   345.789,   
217.347,   470.235,   470.789,   
218.472,   470.485,   595.789,   
339.722,   219.235,   345.164,   
340.847,   219.485,   470.164,   
341.972,   219.735,   595.164,   
340.472,   344.235,   344.914,   
341.597,   344.485,   469.914,   
342.722,   344.735,   594.914,   
341.222,   469.235,   344.664,   
342.347,   469.485,   469.664,   
343.472,   469.735,   594.664,   
98.471,   196.744,   469.754,   
98.971,   200.119,   594.754,   
99.471,   203.494,   719.754,   
100.971,   321.619,   466.379,   
101.471,   324.994,   591.379,   
101.971,   328.369,   716.379,   
103.471,   446.494,   463.004,   
103.971,   449.869,   588.004,   
104.471,   453.244,   713.004,   
223.471,   194.244,   469.254,   
223.971,   197.619,   594.254,   
224.471,   200.994,   719.254,   
225.971,   319.119,   465.879,   
226.471,   322.494,   590.879,   
226.971,   325.869,   715.879,   
228.471,   443.994,   462.504,   
228.971,   447.369,   587.504,   
229.471,   450.744,   712.504,   
348.471,   191.744,   468.754,   
348.971,   195.119,   593.754,   
349.471,   198.494,   718.754,   
350.971,   316.619,   465.379,   
351.471,   319.994,   590.379,   
351.971,   323.369,   715.379,   
353.471,   441.494,   462.004,   
353.971,   444.869,   587.004,   
354.471,   448.244,   712.004,   
93.975,   199.572,   593.138,   
94.725,   203.322,   718.138,   
95.475,   207.072,   843.138,   
93.225,   324.572,   589.388,   
93.975,   328.322,   714.388,   
94.725,   332.072,   839.388,   
92.475,   449.572,   585.638,   
93.225,   453.322,   710.638,   
93.975,   457.072,   835.638,   
218.975,   200.322,   592.263,   
219.725,   204.072,   717.263,   
220.475,   207.822,   842.263,   
218.225,   325.322,   588.513,   
218.975,   329.072,   713.513,   
219.725,   332.822,   838.513,   
217.475,   450.322,   584.763,   
218.225,   454.072,   709.763,   
218.975,   457.822,   834.763,   
343.975,   201.072,   591.388,   
344.725,   204.822,   716.388,   
345.475,   208.572,   841.388,   
343.225,   326.072,   587.638,   
343.975,   329.822,   712.638,   
344.725,   333.572,   837.638,   
342.475,   451.072,   583.888,   
343.225,   454.822,   708.888,   
343.975,   458.572,   833.888,   
87.186,   355.067,   101.264,   
89.186,   354.317,   226.264,   
91.186,   353.567,   351.264,   
90.186,   480.067,   102.014,   
92.186,   479.317,   227.014,   
94.186,   478.567,   352.014,   
93.186,   605.067,   102.764,   
95.186,   604.317,   227.764,   
97.186,   603.567,   352.764,   
212.186,   352.067,   99.264,   
214.186,   351.317,   224.264,   
216.186,   350.567,   349.264,   
215.186,   477.067,   100.014,   
217.186,   476.317,   225.014,   
219.186,   475.567,   350.014,   
218.186,   602.067,   100.764,   
220.186,   601.317,   225.764,   
222.186,   600.567,   350.764,   
337.186,   349.067,   97.264,   
339.186,   348.317,   222.264,   
341.186,   347.567,   347.264,   
340.186,   474.067,   98.014,   
342.186,   473.317,   223.014,   
344.186,   472.567,   348.014,   
343.186,   599.067,   98.764,   
345.186,   598.317,   223.764,   
347.186,   597.567,   348.764,   
102.357,   356.494,   225.561,   
102.482,   355.619,   350.561,   
102.607,   354.744,   475.561,   
103.357,   481.494,   226.436,   
103.482,   480.619,   351.436,   
103.607,   479.744,   476.436,   
104.357,   606.494,   227.311,   
104.482,   605.619,   352.311,   
104.607,   604.744,   477.311,   
227.357,   355.494,   225.436,   
227.482,   354.619,   350.436,   
227.607,   353.744,   475.436,   
228.357,   480.494,   226.311,   
228.482,   479.619,   351.311,   
228.607,   478.744,   476.311,   
229.357,   605.494,   227.186,   
229.482,   604.619,   352.186,   
229.607,   603.744,   477.186,   
352.357,   354.494,   225.311,   
352.482,   353.619,   350.311,   
352.607,   352.744,   475.311,   
353.357,   479.494,   226.186,   
353.482,   478.619,   351.186,   
353.607,   477.744,   476.186,   
354.357,   604.494,   227.061,   
354.482,   603.619,   352.061,   
354.607,   602.744,   477.061,   
98.872,   326.663,   343.573,   
97.872,   329.663,   468.573,   
96.872,   332.663,   593.573,   
95.247,   451.538,   340.573,   
94.247,   454.538,   465.573,   
93.247,   457.538,   590.573,   
91.622,   576.413,   337.573,   
90.622,   579.413,   462.573,   
89.622,   582.413,   587.573,   
223.872,   330.413,   344.448,   
222.872,   333.413,   469.448,   
221.872,   336.413,   594.448,   
220.247,   455.288,   341.448,   
219.247,   458.288,   466.448,   
218.247,   461.288,   591.448,   
216.622,   580.163,   338.448,   
215.622,   583.163,   463.448,   
214.622,   586.163,   588.448,   
348.872,   334.163,   345.323,   
347.872,   337.163,   470.323,   
346.872,   340.163,   595.323,   
345.247,   459.038,   342.323,   
344.247,   462.038,   467.323,   
343.247,   465.038,   592.323,   
341.622,   583.913,   339.323,   
340.622,   586.913,   464.323,   
339.622,   589.913,   589.323,   
86.518,   320.108,   463.915,   
88.268,   323.483,   588.915,   
90.018,   326.858,   713.915,   
87.393,   445.108,   460.54,   
89.143,   448.483,   585.54,   
90.893,   451.858,   710.54,   
88.268,   570.108,   457.165,   
90.018,   573.483,   582.165,   
91.768,   576.858,   707.165,   
211.518,   319.233,   462.29,   
213.268,   322.608,   587.29,   
215.018,   325.983,   712.29,   
212.393,   444.233,   458.915,   
214.143,   447.608,   583.915,   
215.893,   450.983,   708.915,   
213.268,   569.233,   455.54,   
215.018,   572.608,   580.54,   
216.768,   575.983,   705.54,   
336.518,   318.358,   460.665,   
338.268,   321.733,   585.665,   
340.018,   325.108,   710.665,   
