pa2-a-output-1.txt
EM pivot post est position: 203.488390433,	182.604828237,	190.452382915
Optical pivot post est position: 392.871897637,	390.218877785,	-2809.93987427
105.724,   440.15,   335.531,   
106.724,   443.525,   460.531,   
107.724,   446.9,   585.531,   
223.724,   186.9,   341.406,   
224.724,   190.275,   466.406,   
225.724,   193.65,   591.406,   
227.224,   311.775,   338.031,   
228.224,   315.15,   463.031,   
229.224,   318.525,   588.031,   
230.724,   436.65,   334.656,   
231.724,   440.025,   459.656,   
232.724,   443.4,   584.656,   
348.724,   183.4,   340.531,   
349.724,   186.775,   465.531,   
350.724,   190.15,   590.531,   
352.224,   308.275,   337.156,   
353.224,   311.65,   462.156,   
354.224,   315.025,   587.156,   
355.724,   433.15,   333.781,   
356.724,   436.525,   458.781,   
357.724,   439.9,   583.781,   
113.762,   197.233,   470.606,   
112.387,   200.733,   595.606,   
111.012,   204.233,   720.606,   
114.762,   322.233,   467.106,   
113.387,   325.733,   592.106,   
112.012,   329.233,   717.106,   
115.762,   447.233,   463.606,   
114.387,   450.733,   588.606,   
113.012,   454.233,   713.606,   
238.762,   196.233,   471.981,   
237.387,   199.733,   596.981,   
236.012,   203.233,   721.981,   
239.762,   321.233,   468.481,   
238.387,   324.733,   593.481,   
237.012,   328.233,   718.481,   
240.762,   446.233,   464.981,   
239.387,   449.733,   589.981,   
238.012,   453.233,   714.981,   
363.762,   195.233,   473.356,   
362.387,   198.733,   598.356,   
361.012,   202.233,   723.356,   
364.762,   320.233,   469.856,   
363.387,   323.733,   594.856,   
362.012,   327.233,   719.856,   
365.762,   445.233,   466.356,   
364.387,   448.733,   591.356,   
363.012,   452.233,   716.356,   
98.231,   198.616,   592.472,   
98.981,   202.366,   717.472,   
99.731,   206.116,   842.472,   
99.731,   323.491,   588.722,   
100.481,   327.241,   713.722,   
101.231,   330.991,   838.722,   
101.231,   448.366,   584.972,   
101.981,   452.116,   709.972,   
102.731,   455.866,   834.972,   
223.231,   197.116,   591.847,   
223.981,   200.866,   716.847,   
224.731,   204.616,   841.847,   
224.731,   321.991,   588.097,   
225.481,   325.741,   713.097,   
226.231,   329.491,   838.097,   
226.231,   446.866,   584.347,   
226.981,   450.616,   709.347,   
227.731,   454.366,   834.347,   
348.231,   195.616,   591.222,   
348.981,   199.366,   716.222,   
349.731,   203.116,   841.222,   
349.731,   320.491,   587.472,   
350.481,   324.241,   712.472,   
351.231,   327.991,   837.472,   
351.231,   445.366,   583.722,   
351.981,   449.116,   708.722,   
352.731,   452.866,   833.722,   
89.8,   353.889,   100.356,   
90.175,   353.639,   225.356,   
90.55,   353.389,   350.356,   
87.05,   478.889,   100.606,   
87.425,   478.639,   225.606,   
87.8,   478.389,   350.606,   
84.3,   603.889,   100.856,   
84.675,   603.639,   225.856,   
85.05,   603.389,   350.856,   
214.8,   356.639,   99.981,   
215.175,   356.389,   224.981,   
215.55,   356.139,   349.981,   
212.05,   481.639,   100.231,   
212.425,   481.389,   225.231,   
212.8,   481.139,   350.231,   
209.3,   606.639,   100.481,   
209.675,   606.389,   225.481,   
210.05,   606.139,   350.481,   
339.8,   359.389,   99.606,   
340.175,   359.139,   224.606,   
340.55,   358.889,   349.606,   
337.05,   484.389,   99.856,   
337.425,   484.139,   224.856,   
337.8,   483.889,   349.856,   
334.3,   609.389,   100.106,   
334.675,   609.139,   225.106,   
335.05,   608.889,   350.106,   
92.511,   346.067,   222.122,   
92.261,   346.817,   347.122,   
92.011,   347.567,   472.122,   
89.261,   471.067,   221.372,   
89.011,   471.817,   346.372,   
88.761,   472.567,   471.372,   
86.011,   596.067,   220.622,   
85.761,   596.817,   345.622,   
85.511,   597.567,   470.622,   
217.511,   349.317,   222.247,   
217.261,   350.067,   347.247,   
217.011,   350.817,   472.247,   
214.261,   474.317,   221.497,   
214.011,   475.067,   346.497,   
213.761,   475.817,   471.497,   
211.011,   599.317,   220.747,   
210.761,   600.067,   345.747,   
210.511,   600.817,   470.747,   
342.511,   352.567,   222.372,   
342.261,   353.317,   347.372,   
342.011,   354.067,   472.372,   
339.261,   477.567,   221.622,   
339.011,   478.317,   346.622,   
338.761,   479.067,   471.622,   
336.011,   602.567,   220.872,   
335.761,   603.317,   345.872,   
335.511,   604.067,   470.872,   
85.935,   339.068,   346.067,   
87.685,   340.318,   471.067,   
89.435,   341.568,   596.067,   
86.685,   464.068,   344.817,   
88.435,   465.318,   469.817,   
90.185,   466.568,   594.817,   
87.435,   589.068,   343.567,   
89.185,   590.318,   468.567,   
90.935,   591.568,   593.567,   
210.935,   338.318,   344.317,   
212.685,   339.568,   469.317,   
214.435,   340.818,   594.317,   
211.685,   463.318,   343.067,   
213.435,   464.568,   468.067,   
215.185,   465.818,   593.067,   
212.435,   588.318,   341.817,   
214.185,   589.568,   466.817,   
215.935,   590.818,   591.817,   
335.935,   337.568,   342.567,   
337.685,   338.818,   467.567,   
339.435,   340.068,   592.567,   
336.685,   462.568,   341.317,   
338.435,   463.818,   466.317,   
