pa2-e-output-1.txt
EM pivot post est position: 213.488585997,	210.026162549,	183.987982581
Optical pivot post est position: 398.049810002,	387.342836025,	-2782.15659071
83.569434,   237.403254,   475.604034,   
78.361434,   365.183879,   227.004784,   
80.474184,   363.802754,   352.001284,   
82.586934,   362.421629,   476.997784,   
77.378934,   490.202254,   228.398534,   
79.491684,   488.821129,   353.395034,   
81.604434,   487.440004,   478.391534,   
204.348309,   241.162879,   223.480409,   
206.461059,   239.781754,   348.476909,   
208.573809,   238.400629,   473.473409,   
203.365809,   366.181254,   224.874159,   
205.478559,   364.800129,   349.870659,   
207.591309,   363.419004,   474.867159,   
202.383309,   491.199629,   226.267909,   
204.496059,   489.818504,   351.264409,   
206.608809,   488.437379,   476.260909,   
329.352684,   242.160254,   221.349784,   
331.465434,   240.779129,   346.346284,   
333.578184,   239.398004,   471.342784,   
328.370184,   367.178629,   222.743534,   
330.482934,   365.797504,   347.740034,   
332.595684,   364.416379,   472.736534,   
327.387684,   492.197004,   224.137284,   
329.500434,   490.815879,   349.133784,   
331.613184,   489.434754,   474.130284,   
75.196125,   204.310737,   341.910611,   
77.557125,   206.703737,   466.899611,   
79.918125,   209.096737,   591.888611,   
74.069375,   329.300987,   339.535736,   
76.430375,   331.693987,   464.524736,   
78.791375,   334.086987,   589.513736,   
72.942625,   454.291237,   337.160861,   
75.303625,   456.684237,   462.149861,   
77.664625,   459.077237,   587.138861,   
200.192875,   205.424487,   339.534986,   
202.553875,   207.817487,   464.523986,   
204.914875,   210.210487,   589.512986,   
199.066125,   330.414737,   337.160111,   
201.427125,   332.807737,   462.149111,   
203.788125,   335.200737,   587.138111,   
197.939375,   455.404987,   334.785236,   
200.300375,   457.797987,   459.774236,   
202.661375,   460.190987,   584.763236,   
325.189625,   206.538237,   337.159361,   
327.550625,   208.931237,   462.148361,   
329.911625,   211.324237,   587.137361,   
324.062875,   331.528487,   334.784486,   
326.423875,   333.921487,   459.773486,   
328.784875,   336.314487,   584.762486,   
322.936125,   456.518737,   332.409611,   
325.297125,   458.911737,   457.398611,   
327.658125,   461.304737,   582.387611,   
116.98941,   237.904669,   477.676458,   
115.970285,   236.172669,   602.698833,   
114.95116,   234.440669,   727.721208,   
119.38241,   362.900169,   479.541458,   
118.363285,   361.168169,   604.563833,   
117.34416,   359.436169,   729.586208,   
121.77541,   487.895669,   481.406458,   
120.756285,   486.163669,   606.428833,   
119.73716,   484.431669,   731.451208,   
241.99416,   235.535669,   478.680208,   
240.975035,   233.803669,   603.702583,   
239.95591,   232.071669,   728.724958,   
244.38716,   360.531169,   480.545208,   
243.368035,   358.799169,   605.567583,   
242.34891,   357.067169,   730.589958,   
246.78016,   485.526669,   482.410208,   
245.761035,   483.794669,   607.432583,   
244.74191,   482.062669,   732.454958,   
366.99891,   233.166669,   479.683958,   
365.979785,   231.434669,   604.706333,   
364.96066,   229.702669,   729.728708,   
369.39191,   358.162169,   481.548958,   
368.372785,   356.430169,   606.571333,   
367.35366,   354.698169,   731.593708,   
371.78491,   483.157669,   483.413958,   
370.765785,   481.425669,   608.436333,   
369.74666,   479.693669,   733.458708,   
97.128697,   213.116975,   595.98722,   
97.140947,   215.4911,   720.978595,   
97.153197,   217.865225,   845.96997,   
94.755447,   338.130975,   593.60897,   
94.767697,   340.5051,   718.600345,   
94.779947,   342.879225,   843.59172,   
92.382197,   463.144975,   591.23072,   
92.394447,   465.5191,   716.222095,   
92.406697,   467.893225,   841.21347,   
222.151697,   215.490725,   595.84597,   
222.163947,   217.86485,   720.837345,   
222.176197,   220.238975,   845.82872,   
219.778447,   340.504725,   593.46772,   
219.790697,   342.87885,   718.459095,   
219.802947,   345.252975,   843.45047,   
217.405197,   465.518725,   591.08947,   
217.417447,   467.89285,   716.080845,   
217.429697,   470.266975,   841.07222,   
347.174697,   217.864475,   595.70472,   
347.186947,   220.2386,   720.696095,   
347.199197,   222.612725,   845.68747,   
344.801447,   342.878475,   593.32647,   
344.813697,   345.2526,   718.317845,   
344.825947,   347.626725,   843.30922,   
342.428197,   467.892475,   590.94822,   
342.440447,   470.2666,   715.939595,   
342.452697,   472.640725,   840.93097,   
88.30763,   370.194469,   100.836222,   
90.042755,   368.312469,   225.834472,   
91.77788,   366.430469,   350.832722,   
89.82038,   495.194344,   102.707472,   
91.555505,   493.312344,   227.705722,   
93.29063,   491.430344,   352.703972,   
91.33313,   620.194219,   104.578722,   
93.068255,   618.312219,   229.576972,   
94.80338,   616.430219,   354.575222,   
213.297255,   368.692469,   99.087472,   
215.03238,   366.810469,   224.085722,   
216.767505,   364.928469,   349.083972,   
214.810005,   493.692344,   100.958722,   
216.54513,   491.810344,   225.956972,   
218.280255,   489.928344,   350.955222,   
216.322755,   618.692219,   102.829972,   
218.05788,   616.810219,   227.828222,   
219.793005,   614.928219,   352.826472,   
338.28688,   367.190469,   97.338722,   
340.022005,   365.308469,   222.336972,   
341.75713,   363.426469,   347.335222,   
339.79963,   492.190344,   99.209972,   
341.534755,   490.308344,   224.208222,   
343.26988,   488.426344,   349.206472,   
341.31238,   617.190219,   101.081222,   
343.047505,   615.308219,   226.079472,   
344.78263,   613.426219,   351.077722,   
98.157663,   330.587403,   217.790403,   
98.652038,   332.465028,   342.793028,   
99.146413,   334.342653,   467.795653,   
100.413288,   455.595278,   215.923278,   
100.907663,   457.472903,   340.925903,   
101.402038,   459.350528,   465.928528,   
102.668913,   580.603153,   214.056153,   
103.163288,   582.480778,   339.058778,   
