pa2-b-output-1.txt
EM pivot post est position: 186.357828086,	197.806664368,	207.435664684
Optical pivot post est position: 390.604403606,	408.679408937,	-2796.00487764
65.914,   508.936,   361.406,   
68.414,   505.686,   486.281,   
70.914,   502.436,   611.156,   
197.289,   262.561,   352.281,   
199.789,   259.311,   477.156,   
202.289,   256.061,   602.031,   
194.039,   387.436,   355.656,   
196.539,   384.186,   480.531,   
199.039,   380.936,   605.406,   
190.789,   512.311,   359.031,   
193.289,   509.061,   483.906,   
195.789,   505.811,   608.781,   
322.164,   265.936,   349.906,   
324.664,   262.686,   474.781,   
327.164,   259.436,   599.656,   
318.914,   390.811,   353.281,   
321.414,   387.561,   478.156,   
323.914,   384.311,   603.031,   
315.664,   515.686,   356.656,   
318.164,   512.436,   481.531,   
320.664,   509.186,   606.406,   
104.059,   217.902,   475.107,   
104.434,   218.402,   600.107,   
104.809,   218.902,   725.107,   
107.684,   342.902,   474.607,   
108.059,   343.402,   599.607,   
108.434,   343.902,   724.607,   
111.309,   467.902,   474.107,   
111.684,   468.402,   599.107,   
112.059,   468.902,   724.107,   
229.059,   214.277,   474.732,   
229.434,   214.777,   599.732,   
229.809,   215.277,   724.732,   
232.684,   339.277,   474.232,   
233.059,   339.777,   599.232,   
233.434,   340.277,   724.232,   
236.309,   464.277,   473.732,   
236.684,   464.777,   598.732,   
237.059,   465.277,   723.732,   
354.059,   210.652,   474.357,   
354.434,   211.152,   599.357,   
354.809,   211.652,   724.357,   
357.684,   335.652,   473.857,   
358.059,   336.152,   598.857,   
358.434,   336.652,   723.857,   
361.309,   460.652,   473.357,   
361.684,   461.152,   598.357,   
362.059,   461.652,   723.357,   
111.995,   203.49,   596.011,   
110.87,   206.49,   721.011,   
109.745,   209.49,   846.011,   
113.495,   328.49,   593.011,   
112.37,   331.49,   718.011,   
111.245,   334.49,   843.011,   
114.995,   453.49,   590.011,   
113.87,   456.49,   715.011,   
112.745,   459.49,   840.011,   
236.995,   201.99,   597.136,   
235.87,   204.99,   722.136,   
234.745,   207.99,   847.136,   
238.495,   326.99,   594.136,   
237.37,   329.99,   719.136,   
236.245,   332.99,   844.136,   
239.995,   451.99,   591.136,   
238.87,   454.99,   716.136,   
237.745,   457.99,   841.136,   
361.995,   200.49,   598.261,   
360.87,   203.49,   723.261,   
359.745,   206.49,   848.261,   
363.495,   325.49,   595.261,   
362.37,   328.49,   720.261,   
361.245,   331.49,   845.261,   
364.995,   450.49,   592.261,   
363.87,   453.49,   717.261,   
362.745,   456.49,   842.261,   
131.39,   309.629,   92.339,   
128.14,   313.254,   217.214,   
124.89,   316.879,   342.089,   
130.015,   434.629,   88.714,   
126.765,   438.254,   213.589,   
123.515,   441.879,   338.464,   
128.64,   559.629,   85.089,   
125.39,   563.254,   209.964,   
122.14,   566.879,   334.839,   
256.39,   311.129,   95.589,   
253.14,   314.754,   220.464,   
249.89,   318.379,   345.339,   
255.015,   436.129,   91.964,   
251.765,   439.754,   216.839,   
248.515,   443.379,   341.714,   
253.64,   561.129,   88.339,   
250.39,   564.754,   213.214,   
247.14,   568.379,   338.089,   
381.39,   312.629,   98.839,   
378.14,   316.254,   223.714,   
374.89,   319.879,   348.589,   
380.015,   437.629,   95.214,   
376.765,   441.254,   220.089,   
373.515,   444.879,   344.964,   
378.64,   562.629,   91.589,   
375.39,   566.254,   216.464,   
372.14,   569.879,   341.339,   
107.573,   327.133,   219.383,   
106.323,   329.508,   344.383,   
105.073,   331.883,   469.383,   
105.698,   452.133,   217.008,   
104.448,   454.508,   342.008,   
103.198,   456.883,   467.008,   
103.823,   577.133,   214.633,   
102.573,   579.508,   339.633,   
101.323,   581.883,   464.633,   
232.573,   329.133,   220.508,   
231.323,   331.508,   345.508,   
230.073,   333.883,   470.508,   
230.698,   454.133,   218.133,   
229.448,   456.508,   343.133,   
228.198,   458.883,   468.133,   
228.823,   579.133,   215.758,   
227.573,   581.508,   340.758,   
226.323,   583.883,   465.758,   
357.573,   331.133,   221.633,   
356.323,   333.508,   346.633,   
355.073,   335.883,   471.633,   
355.698,   456.133,   219.258,   
354.448,   458.508,   344.258,   
353.198,   460.883,   469.258,   
353.823,   581.133,   216.883,   
352.573,   583.508,   341.883,   
351.323,   585.883,   466.883,   
112.467,   354.209,   353.527,   
110.092,   353.834,   478.527,   
107.717,   353.459,   603.527,   
109.092,   479.209,   353.902,   
106.717,   478.834,   478.902,   
104.342,   478.459,   603.902,   
105.717,   604.209,   354.277,   
103.342,   603.834,   479.277,   
100.967,   603.459,   604.277,   
237.342,   357.584,   355.902,   
234.967,   357.209,   480.902,   
232.592,   356.834,   605.902,   
233.967,   482.584,   356.277,   
231.592,   482.209,   481.277,   
229.217,   481.834,   606.277,   
230.592,   607.584,   356.652,   
228.217,   607.209,   481.652,   
225.842,   606.834,   606.652,   
362.217,   360.959,   358.277,   
359.842,   360.584,   483.277,   
357.467,   360.209,   608.277,   
358.842,   485.959,   358.652,   
356.467,   485.584,   483.652,   
354.092,   485.209,   608.652,   
355.467,   610.959,   359.027,   
353.092,   610.584,   484.027,   
350.717,   610.209,   609.027,   
130.261,   352.78,   478.192,   
126.636,   352.53,   603.192,   
123.011,   352.28,   728.192,   
130.636,   477.78,   478.442,   
127.011,   477.53,   603.442,   
123.386,   477.28,   728.442,   
131.011,   602.78,   478.692,   
127.386,   602.53,   603.692,   
123.761,   602.28,   728.692,   
255.261,   352.405,   481.817,   
251.636,   352.155,   606.817,   
248.011,   351.905,   731.817,   
255.636,   477.405,   482.067,   
252.011,   477.155,   607.067,   
248.386,   476.905,   732.067,   
256.011,   602.405,   482.317,   
252.386,   602.155,   607.317,   
248.761,   601.905,   732.317,   
380.261,   352.03,   485.442,   
376.636,   351.78,   610.442,   
373.011,   351.53,   735.442,   
380.636,   477.03,   485.692,   
377.011,   476.78,   610.692,   
373.386,   476.53,   735.692,   
381.011,   602.03,   485.942,   
377.386,   601.78,   610.942,   
373.761,   601.53,   735.942,   
112.185,   326.943,   592.183,   
111.685,   329.818,   717.183,   
111.185,   332.693,   842.183,   
115.81,   451.818,   589.308,   
115.31,   454.693,   714.308,   
114.81,   457.568,   839.308,   
119.435,   576.693,   586.433,   
118.935,   579.568,   711.433,   
118.435,   582.443,   836.433,   
237.185,   323.318,   592.683,   
236.685,   326.193,   717.683,   
236.185,   329.068,   842.683,   
240.81,   448.193,   589.808,   
240.31,   451.068,   714.808,   
239.81,   453.943,   839.808,   
244.435,   573.068,   586.933,   
243.935,   575.943,   711.933,   
243.435,   578.818,   836.933,   
362.185,   319.693,   593.183,   
361.685,   322.568,   718.183,   
361.185,   325.443,   843.183,   
365.81,   444.568,   590.308,   
365.31,   447.443,   715.308,   
